player_id,Player,price,PredP1,PredP3,PredP5,Pos,Squad
1,Fábio Vieira,54,0,0,0,MF,Arsenal
2,G.Jesus,69,2.551706665,9.77246304,14.91676749,FW,Arsenal
3,Gabriel,64,2.700688618,9.613659718,15.07339755,DF,Arsenal
4,Havertz,79,2.717694088,9.56856917,15.13143413,FW,Arsenal
5,Hein,40,0,0,0,GK,Arsenal
6,J.Timber,57,2.298481342,8.067523176,12.71575648,DF,Arsenal
7,Jorginho,47,0.766416618,2.854837897,4.419552081,MF,Arsenal
8,Kiwior,48,0.444424638,1.784769548,2.681093319,DF,Arsenal
9,Martinelli,68,2.955642503,10.44610863,16.41898268,MF,Arsenal
12,Nwaneri,45,0.533956249,2.141245842,3.213578612,MF,Arsenal
13,Ødegaard,84,2.362130566,8.158300438,12.98280843,MF,Arsenal
15,Raya,56,2.506615385,8.94518945,14.01527419,GK,Arsenal
16,Rice,62,2.424420541,8.802332585,13.69744206,MF,Arsenal
17,Saka,103,0,3.452605072,6.291942621,MF,Arsenal
18,Saliba,63,3.052988038,11.09181173,17.29258672,DF,Arsenal
20,Thomas,50,1.75257917,6.22708788,9.69063418,DF,Arsenal
21,Tierney,43,0,0,0,DF,Arsenal
22,Tomiyasu,48,0,0.176330971,0.296919553,DF,Arsenal
23,Trossard,68,1.597788541,5.65870475,8.923571971,MF,Arsenal
24,White,61,0,0.176330971,0.296919553,DF,Arsenal
25,Zinchenko,48,0.094553294,0.385865729,0.583303382,DF,Arsenal
73,Neto,41,0,0,0,GK,Bournemouth
186,Sterling,67,0.028418514,0.22582679,0.34483528,MF,Arsenal
578,Calafiori,58,1.08123738,4.36194502,6.52492248,DF,Arsenal
597,Lewis-Skelly,45,1.438509112,5.207949868,8.126813683,DF,Arsenal
633,Merino,60,1.551461313,5.659118058,8.749793199,MF,Arsenal
638,Oulad M'hand,45,0,0,0,,Arsenal
639,Setford,45,0,0,0,,Arsenal
657,Kacurri,40,0,0,0,,Arsenal
658,Heaven,40,0,0,0,,Arsenal
659,Kabia,45,0,0,0,,Arsenal
662,Nichols,40,0,0,0,,Arsenal
665,Butler-Oyedeji,45,0,0,0,,Arsenal
28,Bailey,62,1.632965205,4.982442076,8.116728611,MF,Aston Villa
29,Barkley,52,0.838620211,2.933289496,4.573625571,MF,Aston Villa
30,Barrenechea,49,0,0,0,MF,Aston Villa
31,Buendia,51,0.92991917,3.58178013,5.3781697,MF,Aston Villa
32,Cash,44,0,2.337197395,4.628469522,DF,Aston Villa
33,Dendoncker,45,0,0,0,DF,Aston Villa
34,Diaby,65,0,0,0,MF,Aston Villa
35,Diego Carlos,45,2.675509429,7.967747046,12.88733254,DF,Aston Villa
36,Digne,46,3.915923819,10.79652348,17.95849018,DF,Aston Villa
37,Dobbin,50,0,0,0,MF,Aston Villa
38,Duran,58,0,3.885445112,7.151444764,FW,Aston Villa
39,Gauci,40,0,0,0,GK,Aston Villa
40,Hause,39,0,0,0,DF,Aston Villa
41,Iling Jr,54,0,0,0,DF,Aston Villa
42,Kamara,50,3.4283585,10.01291077,16.47947342,MF,Aston Villa
43,Kesler-Hayden,40,0,0,0,DF,Aston Villa
44,Konsa,44,4.264833944,12.00924557,19.8870551,DF,Aston Villa
45,Maatsen,46,0.88359695,3.577460465,5.357235415,DF,Aston Villa
46,Marschall,40,0,0,0,GK,Aston Villa
47,Martinez,50,4.363447938,12.90058877,21.04292349,GK,Aston Villa
48,McGinn,52,4.304727955,12.30544288,20.38794072,MF,Aston Villa
49,Mings,44,0.852180247,2.682865386,4.324061719,DF,Aston Villa
50,Nedeljkovic,39,0.4209839,1.67233515,2.50742213,DF,Aston Villa
51,Olsen,45,0.051032846,0.191652317,0.292805672,GK,Aston Villa
52,Pau,43,3.310401239,9.834005097,15.98057845,DF,Aston Villa
53,Ramsey,54,0.44539735,1.682446535,2.52361647,MF,Aston Villa
54,Rogers,55,5.736352015,16.77814366,27.59343478,MF,Aston Villa
55,Sinisalo,40,0,0,0,GK,Aston Villa
56,Sousa,40,0,0,0,DF,Aston Villa
57,Tielemans,55,3.32711638,9.668887355,15.93612166,MF,Aston Villa
58,Watkins,88,2.766368,7.929200097,13.13759489,FW,Aston Villa
233,Onana,49,1.320318407,4.156010851,6.694067854,MF,Aston Villa
569,Jaden,53,0.66479275,2.49870348,3.763279515,MF,Aston Villa
598,Bogarde,40,0.075130499,0.261370264,0.399248962,DF,Aston Villa
640,Swinkels,40,0,0,0,,Aston Villa
641,Zych,40,0,0,0,,Aston Villa
656,Young,45,0,0,0,,Aston Villa
679,Broggio,45,0,0,0,,Aston Villa
59,Aarons,43,1.21950687,4.289474508,6.683720116,DF,Bournemouth
60,Adams,49,1.061304644,3.76485967,5.814085353,MF,Bournemouth
61,Anthony,45,0,0.194129901,0.329714803,0,Bournemouth
62,Brooks,49,1.282322567,4.453539489,6.868668689,MF,Bournemouth
63,Christie,49,3.566204276,11.22796872,17.29614765,MF,Bournemouth
64,Cook,50,0,0,0,MF,Bournemouth
65,Enes Ünal,54,1.360570188,4.874834733,7.470161081,FW,Bournemouth
66,Faivre,50,0,0,0,MF,Bournemouth
67,H.Traorè,45,0,0,0,MF,Bournemouth
68,Hill,39,0,0,0,DF,Bournemouth
69,Jebbison,45,0,0.202017381,0.334055896,FW,Bournemouth
70,Kerkez,47,4.508640235,13.2758382,20.43083867,DF,Bournemouth
71,Kluivert,55,0,5.010880116,8.842714345,MF,Bournemouth
72,Mepham,44,0,0,0,DF,Bournemouth
74,O.Dango,50,3.978151956,13.38488381,20.34247684,MF,Bournemouth
75,Paulsen,40,0,0.194129901,0.329714803,MF,Bournemouth
76,Philip,48,1.139671859,3.871119298,5.955266894,MF,Bournemouth
77,Scott,47,0,0.194129871,0.329714773,MF,Bournemouth
78,Semenyo,56,4.62077283,14.61507451,22.40494408,MF,Bournemouth
79,Senesi,47,0,0.190607836,0.313133478,DF,Bournemouth
80,Sinisterra,48,0,0.194129901,0.329714803,MF,Bournemouth
81,Smith,45,0,2.737205139,4.835922803,DF,Bournemouth
83,Tavernier,54,0,3.1060774,5.180850975,MF,Bournemouth
84,Travers,44,0.051032906,0.185491403,0.288677605,GK,Bournemouth
85,Zabarnyi,44,4.523004772,13.64251707,20.96149241,DF,Bournemouth
152,Arrizabalaga,45,5.110857567,16.54308651,25.31498881,GK,Bournemouth
580,Huijsen,44,5.534525604,17.11056157,26.13559717,DF,Bournemouth
592,J.Araujo,43,0,0.190607836,0.313133478,DF,Bournemouth
599,Dennis,40,0,0,0,,Bournemouth
617,Evanilson,59,3.203660083,10.44995864,16.18068076,FW,Bournemouth
680,Kinsey,40,0.635653095,1.908066225,3.11065958,DF,Bournemouth
687,Winterburn,45,0.386543065,1.49672756,2.24009447,MF,Bournemouth
702,Harris,40,0,0,0,,Bournemouth
